Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2096891, CUSHION, 0.5, VS2, G, GD, EX, EX, VG, F,"$1,255.77",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-282/
 2116891, CUSHION, 0.5, SI1, E, EX, EX, EX, VG, N,"$1,256.52",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-312/
 2076494, CUSHION, 0.5, SI1, G, EX, EX, EX, VG, N,"$1,256.70",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-50/
 2089746, CUSHION, 0.71, SI1, M, EX, EX, EX, EX, N,"$1,257.30",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-75/
 2073681, CUSHION, 0.5, SI1, H, EX, EX, EX, VG, N,"$1,257.46",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-360/
 2094493, CUSHION, 0.51, SI1, G, EX, EX, EX, EX, N,"$1,257.47",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-198/
 2122376, CUSHION, 0.7, VS2, K, GD, EX, EX, VG, F,"$1,257.82",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-616/
 2030564, CUSHION, 0.59, SI1, G, VG, EX, EX, VG, N,"$1,257.99",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-26/
 2127683, CUSHION, 0.51, VS2, H, EX, EX, EX, GD, N,"$1,258.22",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-220/
 2134327, CUSHION, 0.51, VS2, G, GD, EX, EX, VG, N,"$1,258.30",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-259/
 2060700, CUSHION, 0.5, VS2, I, EX, EX, EX, VG, N,"$1,258.31",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-24/
 2091354, CUSHION, 0.51, SI1, H, EX, EX, EX, EX, N,"$1,258.32",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-51/
 2103004, CUSHION, 0.56, VVS2, I, EX, EX, EX, VG, F,"$1,258.86",https://capitalwholesalediamonds.com/product/0-56-ct-cushion-9/
 2110105, CUSHION, 0.5, SI1, E, EX, EX, EX, VG, N,"$1,259.90",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-140/
 2082580, CUSHION, 0.52, SI1, G, EX, EX, EX, EX, N,"$1,260.59",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-30/
 2043836, CUSHION, 0.53, SI1, G, EX, VG, VG, VG, N,"$1,261.36",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-7/
 2089752, CUSHION, 0.5, SI1, G, VG, EX, EX, EX, N,"$1,261.75",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-260/
 2132888, CUSHION, 0.5, VS1, I, VG, EX, EX, VG, N,"$1,263.28",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-543/
 2068184, CUSHION, 0.5, SI1, E, EX, EX, EX, VG, F,"$1,264.12",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-211/
 2135748, CUSHION, 0.55, VS2, H, EX, EX, EX, GD, M,"$1,264.49",https://capitalwholesalediamonds.com/product/0-55-ct-cushion-34/
 2086297, CUSHION, 0.51, SI1, G, EX, EX, EX, EX, N,"$1,264.92",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-46/
 2128778, CUSHION, 0.5, VS2, H, EX, EX, EX, VG, F,"$1,266.01",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-164/
 2087102, CUSHION, 0.61, VS1, J, EX, EX, EX, EX, N,"$1,267.68",https://capitalwholesalediamonds.com/product/0-61-ct-cushion-6/
 2111486, CUSHION, 0.57, VVS2, J, EX, EX, EX, EX, N,"$1,268.00",https://capitalwholesalediamonds.com/product/0-57-ct-cushion-4/
 2127645, CUSHION, 0.5, VVS2, I, EX, EX, EX, VG, N,"$1,268.43",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-139/
 2127679, CUSHION, 0.5, VS2, G, GD, EX, EX, VG, N,"$1,268.55",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-160/
 2025714, CUSHION, 0.5, VS2, H, EX, EX, EX, VG, F,"$1,269.31",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-193/
 2097753, CUSHION, 0.5, VS2, F, FG, VG, VG, GD, N,"$1,270.91",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-378/
 2130917, CUSHION, 0.5, VS1, H, GD, VG, VG, VG, N,"$1,270.91",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-471/
 2106367, CUSHION, 0.56, VVS2, H, EX, VG, VG, GD, M,"$1,271.58",https://capitalwholesalediamonds.com/product/0-56-ct-cushion-12/
 2010661, CUSHION, 0.52, VVS1, I, EX, EX, EX, VG, N,"$1,272.28",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-3/
 2088021, CUSHION, 0.7, VVS2, L, VG, EX, EX, EX, N,"$1,272.54",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-134/
 2122395, CUSHION, 0.5, VS1, I, VG, EX, EX, VG, N,"$1,272.57",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-133/
 2135727, CUSHION, 0.52, VS1, H, EX, VG, VG, VG, M,"$1,273.19",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-117/
 2073678, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,273.52",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-358/
 2082581, CUSHION, 0.51, SI1, G, EX, EX, EX, EX, N,"$1,274.83",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-50/
 2094485, CUSHION, 0.55, VS2, H, EX, EX, EX, VG, M,"$1,275.19",https://capitalwholesalediamonds.com/product/0-55-ct-cushion-26/
 2076493, CUSHION, 0.5, SI1, E, VG, EX, EX, VG, N,"$1,275.95",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-235/
 2125589, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,275.95",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-252/
 2120147, CUSHION, 0.5, VS2, G, EX, EX, EX, VG, ST,"$1,276.83",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-300/
 2107897, CUSHION, 0.5, SI1, G, EX, EX, EX, VG, N,"$1,276.91",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-294/
 2106434, CUSHION, 0.54, VS2, I, EX, EX, EX, VG, N,"$1,277.12",https://capitalwholesalediamonds.com/product/0-54-ct-cushion-5/
 2128757, CUSHION, 0.79, VS2, M, EX, EX, EX, VG, ST,"$1,277.64",https://capitalwholesalediamonds.com/product/0-79-ct-cushion-6/
 2134337, CUSHION, 0.5, VS2, I, EX, EX, EX, VG, F,"$1,277.78",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-512/
 2125588, CUSHION, 0.5, SI1, D, EX, EX, EX, VG, N,"$1,278.67",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-166/
 2127684, CUSHION, 0.51, VS2, H, EX, VG, VG, VG, F,"$1,279.77",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-149/
 2116893, CUSHION, 0.51, SI1, G, EX, EX, EX, EX, N,"$1,279.79",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-143/
 2134336, CUSHION, 0.52, VS2, I, EX, EX, EX, VG, N,"$1,279.98",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-114/
 2132901, CUSHION, 0.51, VS2, F, EX, EX, EX, GD, N,"$1,280.58",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-289/
 2106410, CUSHION, 0.5, VS1, I, EX, EX, EX, VG, F,"$1,282.71",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-93/
 2093344, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,282.85",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-62/
 2105005, CUSHION, 0.51, SI2, F, EX, EX, EX, EX, N,"$1,283.04",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-119/
 2061874, CUSHION, 0.51, VS2, H, EX, EX, EX, EX, F,"$1,283.21",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-186/
 2090489, CUSHION, 0.5, SI1, D, VG, EX, EX, VG, N,"$1,283.69",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-51/
 2120136, CUSHION, 0.52, VVS2, I, EX, EX, EX, VG, N,"$1,285.08",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-101/
 2083816, CUSHION, 0.51, SI1, D, EX, EX, EX, EX, F,"$1,285.62",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-47/
 2076490, CUSHION, 0.52, SI1, D, EX, EX, EX, VG, N,"$1,285.96",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-76/
 2072281, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,286.09",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-354/
 2050716, CUSHION, 0.5, VS2, E, EX, EX, EX, GD, M,"$1,287.10",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-332/
 2118030, CUSHION, 0.53, VS2, I, EX, EX, EX, VG, N,"$1,287.20",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-25/
 2106436, CUSHION, 0.51, VS2, I, EX, EX, EX, EX, N,"$1,288.07",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-96/
 2097764, CUSHION, 0.54, SI1, H, EX, EX, EX, VG, N,"$1,288.51",https://capitalwholesalediamonds.com/product/0-54-ct-cushion-2/
 2136994, CUSHION, 0.59, VS1, I, VG, EX, EX, VG, M,"$1,288.54",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-75/
 2096894, CUSHION, 0.5, SI1, E, VG, VG, VG, VG, N,"$1,288.63",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-266/
 2097746, CUSHION, 0.5, VS1, H, EX, VG, VG, VG, M,"$1,288.71",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-61/
 2113258, CUSHION, 0.53, VS1, FANCY, EX, EX, EX, GD, M,"$1,288.74",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-16/
 2127673, CUSHION, 0.5, VS2, F, VG, EX, EX, GD, N,"$1,288.79",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-314/
